输入,预期输出,实际输出,结果
测试,0,0.0,正确
白痴,1,1.0,正确
fuck,1,1.0,正确
浑蛋,1,1.0,正确
混蛋,1,1.0,正确
脑残,1,1.0,正确
二逼,1,1.0,正确
笨蛋,1,1.0,正确
傻瓜,1,1.0,正确
你是一个二逼吗？,1,1.0,正确
你真是一个傻瓜！,1,1.0,正确
你真傻啊,1,1.0,正确
核实你妈比,1,1.0,正确
"?????00000000000000000000000. 核实你妈比, 老子告诉它交叉口,还一直问,",1,1.0,正确
"00000000000元, 你傻逼啊",1,1.0,正确
000109784043 帮我查查这个订单 他妈的停在那几天了几天了,1,1.0,正确
000339455863我这个主板都没有修好，忽悠人啊,1,1.0,正确
、000606737740 ? 草泥马这个老子是长沙的他发济南草泥马,1,1.0,正确
0080欺骗了我怎么处理的,1,1.0,正确
0081他妈的,1,1.0,正确
0081她妈的,1,1.0,正确
